"id","age","monthly_income","zip","credit_score","years_of_employment","dependents","approved"
93,25,9402.99,91003,353,32,1,0.0
94,37,13523.49,91473,711,29,3,1.0
95,37,7806.8,94425,835,34,4,1.0
96,42,7789.38,91776,797,20,2,1.0
97,18,11098.55,90170,732,16,3,0.0
98,32,11044.86,90774,783,7,5,1.0
99,42,8639.41,92064,523,10,1,1.0
100,40,12486.61,92259,709,35,5,1.0
101,32,14872.72,90223,371,9,1,1.0
102,26,4386.52,90983,560,42,1,0.0
103,31,4924.33,93021,665,9,3,1.0
104,39,8037.93,91764,849,1,4,1.0
105,40,12932.59,91243,629,4,5,1.0
106,25,11936.62,95851,809,12,4,0.0
107,18,11239.86,94564,322,32,3,0.0
108,32,11769.82,95031,302,38,3,1.0
109,36,11252.58,90394,813,18,3,1.0
110,21,12987.34,93109,799,5,4,0.0
111,29,6221.27,95148,754,24,4,0.0
112,29,3603.06,90259,796,3,1,0.0
113,26,9482.83,91331,690,9,5,0.0
114,36,19142.37,92183,577,1,3,1.0
115,31,7967.01,92147,479,3,2,1.0
116,32,9093.01,94226,696,21,3,1.0
117,31,10185.49,93436,632,43,3,1.0
118,30,7578.48,92048,345,5,4,1.0
119,25,13098.79,92627,637,14,1,0.0
120,28,7581.43,95812,419,32,1,0.0
121,36,10997.51,92857,698,2,2,1.0
122,36,11342.42,90770,511,33,3,1.0
123,22,10558.99,95763,784,38,5,0.0
124,33,12652.8,96118,392,26,5,1.0
125,26,10410.87,92915,801,11,3,0.0
126,28,8761.0,91783,694,15,2,0.0
127,43,8538.13,92837,730,12,3,1.0
128,30,12560.59,92511,523,36,5,1.0
129,40,8072.25,95130,642,25,3,1.0
130,30,9051.4,94123,338,16,2,1.0
131,34,6786.91,94853,437,18,5,1.0
132,36,9324.8,95435,320,42,4,1.0
133,32,5454.79,95729,594,9,3,1.0
134,18,8386.36,90075,356,35,3,0.0
135,30,15846.45,92545,590,28,2,1.0
136,24,8628.29,93576,456,35,2,0.0
137,34,4661.86,95996,525,40,5,1.0
138,27,10621.75,95030,599,24,2,0.0
139,30,14876.99,94738,373,21,2,1.0
140,37,6306.47,95390,565,7,2,1.0
141,33,11242.75,94844,838,6,1,1.0
142,27,9267.79,92299,434,11,4,0.0
143,31,9503.94,90338,781,24,3,1.0
144,45,16493.98,91697,738,10,4,1.0
145,21,5355.16,93950,581,17,3,0.0
146,25,14009.97,91959,587,27,1,0.0
147,37,11785.55,95709,321,29,2,1.0
148,30,10434.53,93800,565,35,5,1.0
149,38,10212.03,91537,526,15,3,1.0
150,37,8652.7,95004,360,35,1,1.0
151,23,12251.78,93071,511,16,1,0.0
152,26,7384.49,91159,443,1,3,0.0
153,31,11987.28,93359,402,27,2,1.0
154,31,1164.8,90192,463,19,5,1.0
155,30,6403.65,90531,792,22,1,1.0
156,26,6060.77,95388,589,6,3,0.0
157,23,14021.32,92619,331,12,4,0.0
158,42,11435.25,90883,754,30,1,1.0
159,42,5244.08,90022,648,31,2,1.0
160,34,11104.97,94454,481,2,4,1.0
161,39,11726.17,91110,792,31,5,1.0
162,35,4727.21,92162,525,6,4,1.0
163,33,13888.63,92601,632,42,4,1.0
164,37,10334.82,94725,727,31,4,1.0
165,40,4701.36,94012,351,8,5,1.0
166,22,14464.2,93397,545,40,3,0.0
167,26,10326.99,91842,674,11,3,0.0
168,27,14267.32,93886,603,29,5,0.0
169,27,2755.59,92603,809,2,2,1.0
170,23,6068.4,95218,349,35,5,0.0
171,25,7452.14,91670,421,45,3,0.0
172,29,9685.56,93411,434,31,5,0.0
173,37,14665.17,94887,841,40,5,1.0
174,41,7532.22,92258,471,24,5,1.0
175,30,9343.58,91895,687,18,2,1.0
176,30,3879.19,92856,610,41,3,1.0
177,34,12597.68,93066,325,25,5,1.0
178,29,10412.93,92756,360,11,2,0.0
179,21,11712.16,95504,613,35,3,0.0
180,27,7062.88,95780,540,16,1,0.0
181,32,8376.95,95659,385,33,3,1.0
182,32,2797.78,91114,573,32,4,1.0
183,31,12911.72,95062,571,26,1,1.0
184,21,11796.41,96115,723,7,4,0.0
185,29,8997.16,95534,372,22,1,0.0
186,32,8515.31,95296,553,32,4,1.0
187,27,10664.75,93104,650,32,4,0.0
188,22,12642.45,90475,344,7,3,0.0
189,36,15676.21,92728,418,10,1,1.0
190,25,8620.14,91586,335,29,2,0.0
191,30,12978.49,95508,710,3,2,1.0
192,25,16151.65,95753,482,4,2,0.0
193,34,11615.52,93195,331,12,4,1.0
194,26,17920.91,91442,344,11,5,0.0
195,24,6458.99,95442,777,2,5,0.0
196,28,9669.92,93900,767,38,4,0.0
197,28,2490.45,90219,330,8,1,0.0
198,34,9879.61,91257,692,35,1,1.0
199,22,5881.84,94773,398,25,2,0.0
200,27,6307.64,91256,438,5,3,0.0
201,30,14427.01,92206,623,22,1,1.0
202,27,6097.39,94241,798,19,3,0.0
203,39,12571.86,90399,497,13,1,1.0
204,23,4280.09,94516,818,24,3,0.0
205,40,6147.1,93830,487,41,2,1.0
206,35,12307.82,92695,713,21,2,1.0
207,22,8349.64,90215,561,23,2,0.0
208,36,11554.76,94403,744,31,3,1.0
209,21,11399.89,93233,307,19,4,0.0
210,44,11649.43,91955,752,22,5,1.0
211,34,12777.97,90062,447,12,2,1.0
212,21,12416.38,95238,636,36,4,0.0
213,31,3423.83,92257,429,42,2,1.0
214,42,6556.65,94602,502,24,2,1.0
215,31,13040.17,94919,590,40,1,1.0
216,44,13412.64,90706,471,35,1,1.0
217,34,8854.69,90395,515,6,5,1.0
218,34,11244.83,95438,550,35,2,1.0
219,33,9108.93,91824,693,14,1,1.0
220,33,14087.54,91112,687,24,5,1.0
221,27,12699.91,92301,432,11,1,0.0
222,20,7361.46,92786,431,20,1,0.0
223,35,18660.78,91289,339,1,4,1.0
224,38,12830.57,93063,594,3,2,1.0
225,33,7108.37,94354,663,8,1,1.0
226,30,15723.25,95931,838,44,2,1.0
227,33,7891.01,95895,448,43,5,1.0
228,32,7101.95,92609,354,16,1,1.0
229,28,12989.54,95028,786,36,1,0.0
230,38,10410.93,94775,399,12,2,1.0
231,29,14666.69,92984,410,22,3,0.0
232,33,17539.97,94166,608,26,5,1.0
233,25,12235.27,90253,339,39,4,0.0
234,37,3481.07,95615,369,13,1,1.0
235,18,3779.72,93073,700,42,5,0.0
236,44,17952.29,94602,546,39,3,1.0
237,32,4731.86,91664,598,5,4,1.0
238,32,12342.08,92848,414,16,1,1.0
239,23,7803.75,92800,415,14,5,0.0
240,40,12081.75,93092,398,31,3,1.0
241,26,13905.99,95633,530,8,1,0.0
242,35,8038.98,91078,791,6,2,1.0
243,29,1925.52,90800,677,38,3,0.0
244,42,11319.2,94526,798,43,4,1.0
245,40,9025.36,90071,832,20,3,1.0
246,40,12283.38,91981,774,37,3,1.0
247,38,7638.71,91847,371,7,3,1.0
248,33,17756.89,95696,637,39,5,1.0
249,33,4475.29,92695,350,31,2,1.0
250,40,7818.31,94446,671,36,5,1.0
251,23,9745.8,94599,714,37,3,0.0
252,30,5950.84,93704,318,14,4,1.0
253,35,14177.53,91593,335,22,3,1.0
254,39,4730.45,95520,587,36,2,1.0
255,37,10987.61,95605,627,14,4,1.0
256,27,14288.81,93028,751,33,4,0.0
257,19,19204.18,94635,406,4,3,0.0
258,21,18757.07,93504,530,10,2,0.0
259,25,10246.29,92195,712,44,2,0.0
260,41,10107.53,91285,671,38,5,1.0
261,28,12655.27,95142,643,16,1,0.0
262,31,6854.96,90255,424,19,4,1.0
263,37,14233.98,91852,538,4,5,1.0
264,31,6411.56,95477,816,36,3,1.0
265,27,5283.89,94633,366,3,3,0.0
266,37,3526.83,90831,529,36,4,1.0
267,44,11141.8,94530,813,27,3,1.0
268,31,10056.68,94587,381,24,2,1.0
269,27,9178.7,94263,728,15,2,0.0
270,22,5282.26,93390,779,27,3,0.0
271,36,10539.18,90346,495,18,2,1.0
272,26,11860.26,93834,601,23,2,0.0
273,26,8681.25,92410,734,27,4,0.0
274,34,6176.57,93768,441,38,4,1.0
275,18,8360.34,91408,672,25,3,0.0
276,38,14909.46,95416,336,29,3,1.0
277,33,10850.54,93207,655,32,3,1.0
278,23,1840.58,96145,773,25,2,0.0
279,30,8060.05,90075,550,16,4,1.0
280,29,18370.22,90859,607,14,2,0.0
281,23,12293.74,90126,655,37,3,0.0
282,36,12858.05,94787,335,21,3,1.0
283,29,11641.43,95194,789,44,4,0.0
284,43,14554.42,91111,826,18,1,1.0
285,40,15218.6,91904,756,40,4,1.0
286,27,12214.85,91913,650,22,1,0.0
287,22,13630.25,91155,300,32,3,0.0
288,26,11265.04,92844,438,17,4,0.0
289,40,9573.87,95782,340,33,3,1.0
290,29,10523.1,92480,724,9,1,0.0
291,20,8655.13,92194,591,17,1,0.0
292,22,10521.88,91935,664,10,4,0.0
293,40,5645.16,92128,314,29,1,1.0
294,30,14164.7,90857,682,39,2,1.0
295,21,3666.95,94216,586,15,3,0.0
296,24,9731.55,93169,603,19,2,0.0
297,36,6197.58,94792,491,4,2,1.0
298,22,6053.9,92543,553,21,4,0.0
299,30,13709.47,94030,520,21,5,1.0
300,32,14605.11,95923,329,2,2,1.0
301,27,15151.03,95960,433,22,2,0.0
302,39,10979.06,93393,816,21,5,1.0
303,21,18645.96,94112,808,6,3,0.0
304,29,9775.14,96130,568,21,5,0.0
305,27,7209.71,90162,447,21,3,0.0
306,33,12225.39,95817,428,5,5,1.0
307,25,18286.97,93171,627,37,1,0.0
308,32,4437.05,93482,544,6,1,1.0
309,34,10913.72,90078,534,17,2,1.0
310,25,10644.89,92836,733,24,2,0.0
311,28,4050.1,90364,788,4,1,0.0
312,36,14323.06,95253,566,39,2,1.0
313,25,7445.5,93156,358,35,3,0.0
314,24,6260.87,95944,617,5,2,0.0
315,30,12873.59,92907,641,8,4,1.0
316,34,5323.43,92180,505,27,1,1.0
317,25,8013.43,90409,519,9,1,0.0
318,30,12366.91,94497,311,33,3,1.0
319,29,6620.33,91152,328,35,4,0.0
320,25,9259.96,92761,402,23,4,0.0
321,26,13658.86,95847,729,31,2,0.0
322,40,6343.35,92784,377,4,1,1.0
323,41,14117.57,93430,665,20,5,1.0
324,23,18666.38,95202,696,12,2,0.0
325,18,13120.99,94592,698,7,3,0.0
326,35,7675.83,92834,440,31,2,1.0
327,45,2651.19,96133,541,23,1,1.0
328,30,14938.95,95410,320,14,5,1.0
329,24,9026.22,93963,707,26,1,0.0
330,28,13074.26,92298,793,7,4,0.0
331,22,10226.98,95402,536,44,1,0.0
332,29,2264.53,94115,367,20,1,0.0
333,28,8428.31,91684,307,16,1,0.0
334,32,17568.78,95405,830,7,3,1.0
335,41,13689.47,90692,380,2,1,1.0
336,32,7842.44,96015,702,25,4,1.0
337,34,9214.07,94716,404,41,4,1.0
338,21,4605.94,94248,347,4,3,0.0
339,18,1966.03,94374,687,24,2,0.0
340,25,6963.05,92892,537,38,2,0.0
341,36,13212.88,92557,474,40,4,1.0
342,27,12739.86,93088,537,5,3,0.0
343,28,10442.12,94970,627,7,3,0.0
344,40,10444.84,90621,669,34,1,1.0
345,35,16304.92,95906,435,2,3,1.0
346,30,7916.1,94693,479,8,3,1.0
347,35,13184.33,91627,304,19,2,1.0
348,29,13855.17,93119,807,38,1,0.0
349,36,6513.61,95182,739,22,4,1.0
350,29,7147.33,92679,802,20,2,0.0
351,38,11927.34,95286,554,15,4,1.0
352,18,13370.79,96003,737,42,5,0.0
353,25,17751.99,92933,715,43,2,0.0
354,35,11763.8,95772,627,20,2,1.0
355,22,7551.69,92859,747,11,5,0.0
356,30,2315.36,93128,473,14,3,1.0
357,35,8503.61,93319,479,45,1,1.0
358,21,12229.1,93414,559,18,2,0.0
359,26,17026.45,91517,798,13,4,0.0
360,22,16165.13,91922,730,21,4,0.0
361,18,7716.54,94816,503,7,1,0.0
362,28,8516.18,95212,813,38,5,0.0
363,43,13005.31,93520,306,18,5,1.0
364,45,7360.95,96094,535,14,5,1.0
365,31,12118.39,95831,505,31,3,1.0
366,21,5679.49,90938,692,8,5,0.0
367,39,14963.43,92967,583,14,4,1.0
368,25,13048.56,91604,522,17,4,0.0
369,35,9016.94,92971,781,23,5,1.0
370,19,15813.9,93824,814,44,1,0.0
371,23,6953.6,95526,642,10,2,0.0
372,32,10273.78,92876,496,27,3,1.0
373,34,10977.35,95564,763,25,2,1.0
374,45,13952.66,94380,353,18,4,1.0
375,21,14023.73,90069,363,11,3,0.0
376,38,1495.77,90973,608,28,4,1.0
377,28,9438.14,94054,534,36,3,0.0
378,39,6578.33,92136,552,25,3,1.0
379,33,10151.03,93447,629,10,2,1.0
380,28,11105.9,90906,630,21,2,0.0
381,31,12201.07,90946,523,27,4,1.0
382,38,7179.36,93556,354,10,1,1.0
383,39,14954.31,90865,845,17,5,1.0
384,18,9049.96,92982,833,17,1,0.0
385,26,7271.12,91386,377,13,4,0.0
386,23,12208.14,95068,637,38,1,0.0
387,26,7727.53,91285,377,5,4,0.0
388,21,13390.89,94494,528,26,1,0.0
389,27,13019.26,91849,533,45,3,0.0
390,30,11502.76,91511,663,40,4,1.0
391,20,7495.61,91571,799,25,4,0.0
392,24,10550.46,94913,834,31,4,0.0
393,28,15923.64,93622,721,27,1,0.0
394,31,12951.19,93862,793,14,1,1.0
395,21,15595.02,93588,729,34,4,0.0
396,39,9653.29,90489,691,27,3,1.0
397,37,7370.77,92431,590,7,1,1.0
398,37,13054.95,93576,565,25,1,1.0
399,45,14003.61,93317,843,40,4,1.0
400,28,11170.42,91504,365,42,4,0.0
401,19,10119.45,94616,380,13,2,0.0
402,33,9750.51,92135,843,30,5,1.0
403,37,10966.12,95233,607,16,4,1.0
404,29,5983.88,90602,636,44,2,0.0
405,34,8534.73,95690,512,36,5,1.0
406,18,12321.26,92699,328,14,3,0.0
407,24,5772.78,92446,683,2,5,0.0
408,19,5001.98,94895,521,45,5,0.0
409,28,10743.45,93354,774,26,1,0.0
410,39,4845.82,93042,716,38,4,1.0
411,20,17034.34,94763,527,26,2,0.0
412,44,12461.52,96145,469,23,4,1.0
413,30,9896.24,95442,799,3,1,1.0
414,30,11800.94,91084,584,27,2,1.0
415,37,14807.31,95482,704,31,4,1.0
416,31,14090.87,95587,533,33,1,1.0
417,42,11000.01,91016,710,27,1,1.0
418,29,17247.54,95216,485,11,2,0.0
419,45,14964.02,94965,749,30,5,1.0
420,30,10744.98,95851,704,7,2,1.0
421,20,8598.41,91900,589,21,4,0.0
422,19,12014.38,95140,633,35,5,0.0
423,39,15984.13,91525,364,42,3,1.0
424,36,14226.87,95410,595,3,2,1.0
425,38,11295.54,94324,815,39,2,1.0
426,28,7720.04,90670,568,20,3,0.0
427,31,3859.75,93740,699,5,5,1.0
428,22,7806.17,90699,750,1,3,0.0
429,24,10427.92,91300,573,4,5,0.0
430,25,18153.16,92107,434,24,5,0.0
431,37,7966.11,95527,556,4,1,1.0
432,38,5703.35,91491,708,26,2,1.0
433,29,7986.46,91026,648,2,1,0.0
434,28,4588.02,93776,310,23,3,0.0
435,30,8780.91,93138,846,21,3,1.0
436,30,9399.63,96028,331,4,2,1.0
437,21,9807.42,91064,742,8,5,0.0
438,21,9315.53,93490,782,25,4,0.0
439,43,10214.87,91638,664,31,2,1.0
440,31,9927.35,95152,568,27,1,1.0
441,30,9905.62,92695,491,2,1,1.0
442,38,1518.0,93428,591,24,5,1.0
443,22,8275.08,91082,494,42,2,0.0
444,31,6925.03,93033,419,6,5,1.0
445,32,14071.3,93131,463,23,5,1.0
446,20,8148.43,90059,682,39,5,0.0
447,22,8142.56,92868,329,17,3,0.0
448,28,9830.06,94095,804,38,2,0.0
449,44,10254.79,94474,821,2,5,1.0
450,35,6893.73,95404,602,7,1,1.0
451,33,9397.57,96119,769,31,2,1.0
452,33,13400.78,92811,827,42,1,1.0
453,27,12625.79,91565,840,34,3,0.0
454,19,11950.23,93604,547,7,2,0.0
455,35,9778.87,92357,454,24,5,1.0
456,37,10901.16,90656,350,26,2,1.0
457,27,11114.67,95594,833,43,2,0.0
458,19,6314.28,90073,533,22,1,0.0
459,19,12398.73,96045,742,26,4,0.0
460,43,12638.82,92105,779,32,2,1.0
461,28,10615.22,95223,731,1,2,0.0
462,38,7769.06,90296,607,32,4,1.0
463,25,10094.33,93432,302,9,1,0.0
464,24,4316.49,91318,778,9,2,0.0
465,35,8548.53,93602,638,2,2,1.0
466,28,3351.64,90772,669,25,5,0.0
467,25,14438.69,91918,648,25,2,0.0
468,24,4224.38,90852,807,2,3,0.0
469,31,15005.31,90266,460,33,2,1.0
470,29,7976.82,94748,329,44,4,0.0
471,33,17756.95,93275,753,30,2,1.0
472,33,12553.86,96057,347,7,3,1.0
473,24,4966.82,94588,590,13,5,0.0
474,39,6601.87,91094,669,44,5,1.0
475,27,11738.34,95603,552,26,5,0.0
476,37,2866.62,95657,776,6,2,1.0
477,28,10816.17,90323,836,43,2,0.0
478,23,12311.77,94373,540,37,3,0.0
479,32,9435.52,91245,569,25,5,1.0
480,31,11303.92,91223,555,38,2,1.0
481,27,11041.2,94846,847,44,3,0.0
482,30,8427.73,93374,803,30,2,1.0
483,37,17508.01,91520,646,9,3,1.0
484,38,16908.29,91480,801,22,4,1.0
485,27,9026.92,94305,633,3,2,0.0
486,18,6671.2,91950,672,25,4,0.0
487,25,7211.37,91622,432,36,5,0.0
488,36,15252.91,94156,455,4,1,1.0
489,34,9650.38,94540,572,8,2,1.0
490,31,11786.85,91145,678,15,1,1.0
491,41,13638.28,94558,780,17,2,1.0
492,19,7672.51,95456,750,24,5,0.0
493,22,16639.78,90175,483,26,3,0.0
494,19,10629.73,95064,721,44,5,0.0
495,30,10958.04,90771,553,11,1,1.0
496,28,4246.97,91530,619,16,5,0.0
497,35,7587.82,93642,352,4,1,1.0
498,44,19457.67,91919,757,22,1,1.0
499,39,6654.3,95768,461,41,5,1.0
500,23,11826.86,90948,724,30,2,0.0
501,26,8173.83,94235,539,12,5,0.0
502,18,11156.98,94133,537,29,3,0.0
503,29,6758.77,90931,753,3,1,0.0
504,39,13372.64,91687,779,2,4,1.0
505,26,6962.42,95061,594,27,1,0.0
506,36,9693.77,93079,326,26,3,1.0
507,40,6108.12,94912,810,16,2,1.0
508,24,12116.6,95835,358,11,2,0.0
509,34,8340.36,90237,616,36,5,1.0
510,21,2170.17,92814,712,23,5,0.0
511,26,10649.11,95958,707,40,5,0.0
512,24,12491.78,94784,547,2,5,0.0
513,35,1380.41,91735,575,43,2,1.0
514,24,6029.02,90280,420,15,4,0.0
515,34,9966.01,95149,677,30,2,1.0
516,43,13829.92,93098,398,22,2,1.0
517,38,6474.54,92903,424,19,3,1.0
518,21,12286.65,94737,459,18,4,0.0
519,43,4205.74,92773,512,43,3,1.0
520,38,7749.18,90601,519,11,4,1.0
521,31,13408.54,95191,721,22,2,1.0
522,31,6268.63,92410,314,31,1,1.0
523,28,3517.32,92522,696,19,4,0.0
524,29,12078.29,95001,377,32,5,0.0
525,37,11039.14,90075,567,38,4,1.0
526,29,14484.2,92223,349,30,3,0.0
527,26,6522.73,90381,820,39,1,0.0
528,28,6283.96,92885,754,20,5,0.0
529,45,12671.27,91445,667,20,4,1.0
530,28,7659.81,92240,420,19,4,0.0
531,38,12483.27,90644,526,40,2,1.0
532,39,13150.98,92634,496,34,2,1.0
533,30,10841.32,90369,484,30,1,1.0
534,24,8412.09,91307,521,34,3,0.0
535,27,9638.97,91013,497,29,2,0.0
536,26,8839.87,92164,460,39,3,0.0
537,33,5671.47,94858,503,18,5,1.0
538,26,3794.74,96136,499,4,3,0.0
539,32,11319.32,93504,789,42,5,1.0
540,29,8479.52,94880,426,36,2,0.0
541,28,15049.07,92897,606,36,2,0.0
542,33,11960.19,95413,661,43,2,1.0
543,19,15144.85,94458,764,39,2,0.0
544,37,11807.91,92223,526,10,1,1.0
545,37,17285.07,91299,618,29,4,1.0
546,34,4334.69,94023,454,8,1,1.0
547,34,14617.6,91964,418,37,3,1.0
548,37,7997.76,93390,825,6,3,1.0
549,39,11828.86,93115,694,25,2,1.0
550,22,9393.68,95635,839,15,4,0.0
551,28,17066.6,92271,723,26,2,0.0
552,34,10182.76,90771,695,39,3,1.0
553,37,5024.93,92019,564,28,3,1.0
554,29,10766.69,90883,348,4,2,0.0
555,34,11892.6,95254,548,38,1,1.0
556,40,12332.94,92098,607,2,3,1.0
557,27,10857.01,90899,760,31,5,0.0
558,25,10175.09,94706,308,7,3,0.0
559,33,5721.02,94413,804,12,2,1.0
560,32,8109.07,92288,369,36,4,1.0
561,42,9898.86,93459,354,30,3,1.0
562,32,12215.45,91906,323,1,2,1.0
563,33,8034.67,90096,408,7,4,1.0
564,21,9651.5,90493,363,45,1,0.0
565,22,7756.17,93499,746,21,3,0.0
566,36,10535.49,94281,347,30,5,1.0
567,36,12888.53,94843,621,5,3,1.0
568,39,11624.42,90138,481,29,1,1.0
569,28,8941.74,91414,602,10,1,0.0
570,35,17210.52,94468,604,10,4,1.0
571,21,11626.83,91897,726,21,2,0.0
572,38,10140.94,93588,535,24,5,1.0
573,18,11098.85,93605,614,16,3,0.0
574,21,6773.75,93262,498,44,1,0.0
575,24,5084.31,94780,374,45,4,0.0
576,42,3301.88,94837,398,17,1,1.0
577,31,17028.59,95299,813,37,4,1.0
578,33,3518.28,91194,377,31,4,1.0
579,27,7505.44,90304,531,35,2,0.0
580,19,12661.5,91383,541,27,1,0.0
581,35,10076.8,92870,830,17,2,1.0
582,28,12645.49,93768,325,7,2,0.0
583,38,13931.43,90815,461,16,4,1.0
584,35,4624.21,90155,789,13,5,1.0
585,34,8852.53,95601,743,22,5,1.0
586,39,19712.65,91121,381,25,1,1.0
587,42,12030.04,92768,719,10,2,1.0
588,32,7075.49,94829,703,26,1,1.0
589,40,6558.2,92241,780,45,3,1.0
590,33,13281.3,93307,626,39,1,1.0
591,33,16901.59,95237,428,21,3,1.0
592,42,10912.48,92669,458,3,4,1.0
593,32,11449.33,94751,572,20,1,1.0
594,33,11295.09,93618,579,7,2,1.0
595,29,15148.95,92596,561,45,4,0.0
596,22,6916.26,95928,439,2,5,0.0
597,27,11196.69,90341,689,12,2,0.0
598,26,8833.23,94617,445,6,4,0.0
599,25,1104.08,95088,788,28,1,0.0
600,37,14588.34,95111,536,38,2,1.0
601,33,10894.66,95243,690,20,4,1.0
602,30,6755.62,90498,688,38,1,1.0
603,32,11183.06,92788,378,33,3,1.0
604,22,8505.25,94089,846,16,1,0.0
605,26,9028.88,92762,527,11,5,0.0
606,44,14014.65,95913,589,3,3,1.0
607,37,8021.72,92826,475,38,1,1.0
608,30,10616.19,90310,827,45,2,1.0
609,34,6499.94,95488,610,15,3,1.0
610,28,10058.61,96136,661,24,2,0.0
611,29,15949.81,95525,684,8,4,0.0
612,29,9766.78,93392,376,28,4,0.0
613,26,10765.06,94851,738,4,2,0.0
614,24,8701.64,91854,412,32,1,0.0
615,26,10695.35,90771,510,30,3,0.0
616,32,11074.25,96081,591,30,3,1.0
617,41,10553.95,90517,508,22,1,1.0
618,32,6964.51,92938,615,33,3,1.0
619,39,14413.62,92083,392,36,2,1.0
620,30,10836.39,95197,342,32,2,1.0
621,40,6826.63,94166,718,8,1,1.0
622,37,11665.3,94731,472,22,4,1.0
623,38,12702.04,90454,616,4,1,1.0
624,23,3816.38,94120,495,35,3,0.0
625,22,10488.97,92439,747,9,2,0.0
626,42,11446.39,94966,668,16,3,1.0
627,27,9421.84,92552,566,4,4,0.0
628,36,7910.69,92022,517,14,1,1.0
629,23,19797.8,91652,746,18,3,0.0
630,23,8540.4,92437,820,7,3,0.0
631,32,13766.16,93084,678,23,1,1.0
632,23,7185.93,95597,466,28,2,0.0
