"id","age","monthly_income","zip","credit_score","years_of_employment","dependents","approved"
190,37,6999.17,93084,461,38,5,1.0
191,32,8834.05,95678,381,43,2,1.0
192,38,5410.78,94574,489,8,1,0.0
193,23,4177.85,90580,517,5,4,0.0
194,42,7311.07,91495,515,1,1,1.0
195,29,6659.12,90738,438,42,1,0.0
196,35,6935.72,90596,318,15,3,1.0
197,22,11958.93,93813,595,21,4,0.0
198,26,5956.99,92445,414,39,5,0.0
199,26,8429.69,93794,735,21,1,0.0
200,30,3988.87,90282,341,36,5,0.0
201,33,10163.14,90386,787,21,2,1.0
202,44,3778.47,91303,582,18,5,0.0
203,32,4123.75,90218,805,10,4,0.0
204,37,4070.31,91633,346,18,5,0.0
205,28,6227.32,94329,403,30,3,0.0
206,26,4795.09,92774,774,24,5,0.0
207,29,3659.18,95630,602,43,5,0.0
208,32,6971.74,90195,465,30,2,1.0
209,32,10288.77,91445,500,22,5,1.0
210,19,10815.9,96025,508,14,4,0.0
211,20,1474.93,91737,687,16,1,0.0
212,40,5104.37,92506,498,1,5,0.0
213,18,6136.74,90177,718,32,1,0.0
214,24,2914.75,90817,383,8,2,0.0
215,38,7315.58,92539,476,38,4,1.0
216,40,2969.74,95271,788,20,1,0.0
217,43,5897.06,90680,555,2,3,0.0
218,37,12877.47,95695,565,24,4,1.0
219,37,1132.22,90467,301,35,3,0.0
220,20,7566.3,95508,364,17,4,0.0
221,18,4510.63,92438,332,26,3,0.0
222,26,2912.75,94553,801,9,3,0.0
223,21,8939.39,90302,783,44,1,0.0
224,18,5078.59,93753,664,19,1,0.0
225,19,11273.47,91109,354,13,4,0.0
226,19,1891.55,95092,708,43,2,0.0
227,44,4278.62,94630,315,23,1,0.0
228,35,6975.86,95687,619,36,1,1.0
229,18,6207.36,90890,344,37,4,0.0
230,39,8333.56,95109,423,40,4,1.0
231,28,4352.97,94913,461,17,4,0.0
232,29,4809.49,92215,418,5,5,0.0
233,20,9092.85,91806,302,35,4,0.0
234,35,7396.95,92198,805,38,3,1.0
235,18,7084.44,95405,820,33,2,0.0
236,24,8754.71,95396,439,19,2,0.0
237,41,4452.71,94731,844,34,2,0.0
238,32,3548.34,92976,499,44,2,0.0
239,19,8711.54,93107,605,10,3,0.0
240,28,5916.47,95694,754,30,4,0.0
241,33,5098.17,94361,426,33,5,0.0
242,28,6881.85,93896,356,2,4,0.0
243,29,5759.39,94090,762,5,1,0.0
244,32,6405.07,93225,777,3,2,1.0
245,39,7116.62,93397,736,37,2,1.0
246,19,9421.97,91007,530,44,5,0.0
247,44,9221.64,94235,670,2,1,1.0
248,34,1557.3,95777,826,27,3,0.0
249,37,10351.81,94250,656,22,3,1.0
250,25,9612.29,90552,452,35,1,0.0
251,31,8392.49,95118,604,37,1,1.0
252,25,2878.61,93539,308,43,5,0.0
253,37,9050.22,90231,829,45,1,1.0
254,41,6100.89,90211,827,34,5,1.0
255,29,7621.95,91429,683,35,1,0.0
256,30,8156.78,91194,686,3,4,1.0
257,29,10658.55,91990,575,16,2,0.0
258,28,4813.94,91781,399,13,1,0.0
259,29,8505.51,92379,659,40,3,0.0
260,32,2680.47,95837,484,33,2,0.0
261,20,6956.24,96041,453,36,2,0.0
262,33,5565.25,92722,451,34,5,0.0
263,32,4604.28,92434,675,5,5,0.0
264,29,7501.38,94949,436,15,2,0.0
265,29,1516.46,93357,837,15,5,0.0
266,18,4804.57,92069,742,25,2,0.0
267,41,9141.13,90453,503,7,1,1.0
268,23,6878.59,93203,346,19,1,0.0
269,38,5445.47,91506,593,15,3,0.0
270,37,2809.45,91538,751,4,5,0.0
271,28,9551.85,94119,732,19,5,0.0
272,30,6191.91,90088,595,41,2,1.0
273,32,7647.12,94071,346,7,3,1.0
274,36,13912.44,90910,492,11,2,1.0
275,28,6600.61,90587,575,1,3,0.0
276,19,6620.94,95951,833,18,3,0.0
277,35,6180.17,95697,624,32,5,1.0
278,26,5433.28,90135,361,23,4,0.0
279,20,7678.04,93518,315,29,1,0.0
280,28,6545.02,93650,392,4,5,0.0
281,22,6538.56,94702,703,43,5,0.0
282,44,5825.79,91430,488,8,5,0.0
283,27,7370.96,95512,449,32,2,0.0
284,26,8045.0,93375,651,33,4,0.0
285,21,5603.76,91216,850,9,1,0.0
286,38,6286.84,95576,399,15,2,1.0
287,29,4779.24,92959,604,36,3,0.0
288,29,4934.59,92719,666,21,2,0.0
289,28,6365.23,95984,810,24,1,0.0
290,25,5864.87,90228,585,1,5,0.0
291,32,4443.87,96045,725,4,4,0.0
292,19,4266.13,92286,589,23,3,0.0
293,23,3292.65,94783,337,28,3,0.0
294,39,7134.03,92161,685,24,1,1.0
295,33,2187.38,95513,556,19,1,0.0
296,36,4072.16,95377,753,26,1,0.0
297,33,5413.22,93087,339,32,5,0.0
298,31,1589.09,94655,768,26,3,0.0
299,28,8822.5,94172,809,39,4,0.0
300,38,4506.37,90067,739,25,5,0.0
301,31,6653.63,94892,688,13,3,1.0
302,27,7740.6,95948,458,10,3,0.0
303,44,8269.08,92403,374,34,2,1.0
304,44,7283.15,95560,634,44,5,1.0
305,28,11446.23,95185,654,25,3,0.0
306,24,1788.2,94001,601,20,2,0.0
307,22,5638.41,92063,618,41,4,0.0
308,33,3456.35,94625,723,22,2,0.0
309,21,6148.24,92941,365,11,1,0.0
310,27,4255.74,91864,426,7,4,0.0
311,41,7925.64,90043,437,44,2,1.0
312,42,6506.78,91825,714,28,3,1.0
313,39,3524.67,92139,448,14,1,0.0
314,26,7760.16,90093,811,15,2,0.0
315,25,10774.67,90900,542,22,3,0.0
316,21,8030.82,95210,562,27,4,0.0
317,40,1824.85,93748,717,42,5,0.0
318,27,8696.9,93224,439,3,5,0.0
319,31,7789.0,94345,804,32,4,1.0
320,25,4608.32,93693,606,12,2,0.0
321,31,11659.06,92238,363,33,3,1.0
322,27,1945.06,93153,781,24,1,0.0
323,31,7724.74,90100,676,36,5,1.0
324,18,3791.42,94144,445,38,1,0.0
325,44,7551.77,90567,410,34,3,1.0
326,27,2665.81,92726,310,1,5,0.0
327,28,8702.52,94949,643,35,5,0.0
328,31,2142.29,96003,315,17,2,0.0
329,20,5502.98,95249,429,33,3,0.0
330,33,9121.71,90756,713,42,3,1.0
331,27,3967.09,90429,778,26,3,0.0
332,19,5380.72,93743,523,32,5,0.0
333,36,5080.48,94765,483,27,4,0.0
334,38,4387.53,95978,667,33,3,0.0
335,22,1256.54,94873,800,10,3,0.0
336,30,4986.63,92377,823,38,1,0.0
337,24,4997.55,90980,736,39,4,0.0
338,35,8111.29,92610,706,30,1,1.0
339,40,9355.76,94644,589,9,3,1.0
340,22,7917.2,92945,501,44,4,0.0
341,28,7539.5,90829,603,44,4,0.0
342,30,4704.91,94976,576,9,5,0.0
343,39,4078.64,95002,822,29,5,0.0
344,36,9030.56,92715,725,7,5,1.0
345,23,12185.45,95300,403,33,5,0.0
346,44,2564.8,94435,323,33,2,0.0
347,44,2924.26,90234,496,8,5,0.0
348,38,6171.25,93756,675,33,1,1.0
349,18,7096.25,92813,668,31,2,0.0
350,39,8566.94,90807,790,18,2,1.0
351,18,6598.32,92611,684,2,4,0.0
352,27,3535.06,92483,433,28,1,0.0
353,18,4911.9,90146,307,28,4,0.0
354,21,9746.51,94388,581,26,4,0.0
355,36,8759.73,92917,802,7,2,1.0
356,25,6549.78,90015,301,25,3,0.0
357,39,9516.74,94840,452,39,2,1.0
358,43,7744.5,93182,397,30,5,1.0
359,33,10806.53,91939,779,33,4,1.0
360,22,6622.9,91397,732,39,4,0.0
361,21,6455.3,95875,305,28,4,0.0
362,39,3627.35,90381,803,40,2,0.0
363,28,2426.23,95812,580,5,4,0.0
364,21,4976.47,94889,771,11,5,0.0
365,40,10446.65,95382,826,27,2,1.0
366,40,6314.42,90831,600,3,2,1.0
367,18,3746.71,93795,355,9,1,0.0
368,27,10840.3,92235,848,4,4,0.0
369,23,3015.21,94503,488,28,1,0.0
370,32,3501.35,90729,608,28,4,0.0
371,20,6781.68,95479,514,22,3,0.0
372,44,2294.45,92044,617,41,1,0.0
373,33,5895.86,95198,526,28,2,0.0
374,20,5675.83,95733,595,11,2,0.0
375,22,6670.73,93005,535,34,4,0.0
376,34,3158.37,90324,811,6,3,0.0
377,37,6340.95,93810,553,3,2,1.0
378,25,6062.76,92749,760,28,2,0.0
379,28,6347.66,92045,321,28,2,0.0
380,38,5918.93,92992,825,26,5,0.0
381,29,11128.64,93151,670,43,4,0.0
382,31,7216.21,91387,485,25,1,1.0
383,34,9190.69,96081,329,21,2,1.0
384,37,7752.78,92822,407,32,2,1.0
385,35,2436.27,92919,504,28,2,0.0
386,39,3495.95,91600,820,4,3,0.0
387,35,8860.57,95560,816,22,2,1.0
388,19,5186.75,92644,502,40,3,0.0
389,20,1001.25,91304,829,6,4,0.0
390,28,2483.74,93610,650,22,1,0.0
391,30,10020.61,94621,407,21,5,1.0
392,35,8719.39,93451,492,24,2,1.0
393,26,3512.41,90593,660,4,4,0.0
394,30,6254.62,95894,387,28,2,1.0
395,41,5908.94,96123,666,44,4,0.0
396,42,2970.04,91887,440,17,1,0.0
397,43,10055.24,92168,827,18,1,1.0
398,27,7268.68,92518,776,14,5,0.0
399,25,8629.67,96145,321,11,2,0.0
400,22,6311.45,90733,647,4,2,0.0
401,26,5263.24,95388,834,24,2,0.0
402,37,11077.13,92033,737,42,5,1.0
403,26,6225.09,95713,500,17,5,0.0
404,43,14113.13,94866,410,18,4,1.0
405,37,6039.49,90476,329,38,3,1.0
406,26,5827.29,90224,750,19,5,0.0
407,36,8935.06,91326,323,25,2,1.0
408,34,8161.21,91655,657,18,3,1.0
409,28,5257.53,91205,702,9,3,0.0
410,44,7725.31,92773,393,27,5,1.0
411,26,4557.56,91783,413,24,4,0.0
412,22,5606.41,90908,566,3,2,0.0
413,37,3571.72,90258,445,28,3,0.0
414,29,6085.8,91629,346,40,2,0.0
415,37,4944.34,94733,723,16,3,0.0
416,28,13216.94,95563,489,39,3,0.0
417,38,3228.29,90615,487,11,1,0.0
418,25,5336.92,90796,646,37,4,0.0
419,18,9927.02,92806,580,28,3,0.0
420,44,7084.96,90894,553,17,4,1.0
421,39,5270.64,94681,526,34,1,0.0
422,29,3105.71,94720,431,3,2,0.0
423,31,7747.55,91730,693,13,5,1.0
424,35,5874.88,95368,540,8,5,0.0
425,43,10527.65,90017,564,41,3,1.0
426,38,5303.2,95235,708,29,3,0.0
427,37,7193.7,95145,644,18,3,1.0
428,28,6139.7,92788,798,44,2,0.0
429,18,5098.73,95472,538,11,4,0.0
430,23,4975.56,90804,763,34,2,0.0
431,36,5387.1,93350,841,35,5,0.0
432,33,2961.0,95243,637,19,4,0.0
433,35,5755.5,94793,692,28,3,0.0
434,32,6579.89,90638,725,17,4,1.0
435,37,5731.09,91490,464,5,2,0.0
436,43,3617.13,92196,535,22,4,0.0
437,31,7223.98,95560,401,41,4,1.0
438,20,4843.67,92539,532,39,2,0.0
439,33,7090.39,94583,561,23,3,1.0
440,23,4342.27,94493,423,12,1,0.0
441,38,4853.95,90943,551,32,5,0.0
442,31,6260.47,90689,350,7,4,1.0
443,26,5200.14,90328,778,42,2,0.0
444,38,1502.12,93561,325,31,5,0.0
445,35,8306.15,92153,589,12,3,1.0
446,20,9513.93,91862,607,43,4,0.0
447,35,3733.16,95558,401,17,5,0.0
448,33,6129.02,95566,693,40,3,1.0
449,34,8638.7,93534,311,33,1,1.0
450,45,3257.25,94938,364,10,5,0.0
451,20,5771.42,90662,447,8,5,0.0
452,31,8645.24,92999,714,19,4,1.0
453,26,4913.74,93790,722,13,1,0.0
454,21,3674.37,94140,317,42,4,0.0
455,34,4833.8,92863,471,28,4,0.0
456,36,5998.01,95083,649,24,2,0.0
457,33,7092.43,95094,375,28,1,1.0
458,26,2347.59,91704,312,6,3,0.0
459,35,9637.22,93906,587,22,2,1.0
460,33,3397.28,91773,475,1,1,0.0
461,25,7003.28,92769,421,17,3,0.0
462,29,4681.06,91934,765,22,1,0.0
463,39,8352.84,90930,312,12,2,1.0
464,23,3350.8,94866,432,34,2,0.0
465,28,4062.1,92199,545,35,3,0.0
466,30,4785.52,93544,774,15,3,0.0
467,31,4348.32,95564,806,2,2,0.0
468,37,10847.89,93740,798,43,3,1.0
469,19,9235.19,95599,530,8,1,0.0
470,28,7752.6,94554,595,12,2,0.0
471,35,3377.39,92161,468,19,5,0.0
472,39,4789.2,94524,389,5,2,0.0
473,37,5817.0,95596,721,11,1,0.0
474,28,8388.56,91786,308,26,2,0.0
475,28,8071.95,95302,538,24,1,0.0
476,30,5858.51,94931,573,8,1,0.0
477,31,6383.89,91553,368,30,2,1.0
478,23,3105.68,94885,342,18,2,0.0
479,22,5926.9,95768,601,28,5,0.0
480,31,7796.33,90802,591,33,5,1.0
481,30,2323.64,95547,479,2,5,0.0
482,35,5302.1,92257,334,35,5,0.0
483,21,9343.36,92966,751,19,4,0.0
484,42,6525.59,94200,709,25,1,1.0
485,31,6215.22,91915,478,43,4,1.0
486,28,6206.3,94172,308,43,3,0.0
487,34,6064.32,91419,385,25,2,1.0
488,18,7156.69,93336,609,26,4,0.0
489,23,3661.27,91764,669,11,1,0.0
490,29,10099.58,93916,539,13,3,0.0
491,22,5118.26,92221,421,22,4,0.0
492,32,1769.29,94558,496,30,2,0.0
493,35,8112.28,94115,510,14,1,1.0
494,28,11290.67,93509,422,17,4,0.0
495,28,3161.54,95854,664,43,1,0.0
496,36,5141.84,95580,558,35,5,0.0
497,26,7721.11,94174,327,40,1,0.0
498,32,8043.56,94954,399,11,2,1.0
499,38,1271.79,91198,713,16,3,0.0
500,25,6842.2,95136,384,15,5,0.0
501,27,4939.39,92746,707,29,2,0.0
502,22,9969.6,92165,393,39,3,0.0
503,39,4525.53,95911,336,23,5,0.0
504,23,4379.63,92395,812,5,3,0.0
505,34,9074.28,93769,631,41,2,1.0
506,43,3857.0,93009,410,27,3,0.0
507,27,10528.77,95338,419,8,4,0.0
508,25,1725.62,92068,517,38,4,0.0
509,21,5131.24,90557,683,22,1,0.0
510,34,8879.41,95394,332,13,2,1.0
511,43,7811.89,91661,842,10,4,1.0
512,37,11210.92,90053,770,27,2,1.0
513,25,13880.01,90648,572,6,1,0.0
514,25,13583.46,94771,762,9,5,0.0
515,26,3493.12,92097,525,45,3,0.0
516,38,4851.27,90558,569,31,3,0.0
517,36,4191.33,91453,406,35,2,0.0
518,24,10026.19,90148,591,13,3,0.0
519,31,2678.99,91885,691,43,5,0.0
520,22,8537.13,93087,648,25,4,0.0
521,37,3768.2,90871,759,45,2,0.0
522,33,4766.29,93859,591,38,1,0.0
523,27,4485.1,95095,645,9,4,0.0
524,38,2294.19,92027,671,15,1,0.0
525,22,4419.94,94646,742,17,3,0.0
526,19,6451.85,95854,357,1,1,0.0
527,22,6576.38,95135,764,22,1,0.0
528,31,6869.55,94996,573,25,2,1.0
529,30,5029.88,94469,349,15,1,0.0
530,41,6193.45,95927,779,44,2,1.0
531,22,9487.93,95130,790,27,1,0.0
532,20,4094.31,92145,710,2,5,0.0
533,45,2850.72,93244,739,15,1,0.0
534,18,3912.74,95464,546,14,3,0.0
535,33,8315.19,94016,838,27,2,1.0
536,23,1270.53,90232,593,42,4,0.0
537,22,3106.14,95691,758,37,3,0.0
538,34,8554.9,91095,307,40,5,1.0
539,24,6382.28,93911,815,13,3,0.0
540,37,12119.27,95605,676,28,4,1.0
541,32,9905.17,95400,778,4,4,1.0
542,29,2039.84,90094,728,28,4,0.0
543,32,8431.08,92396,364,39,2,1.0
544,28,6059.66,95121,651,29,1,0.0
545,23,4708.51,94308,621,10,1,0.0
546,44,6511.81,91453,558,12,4,1.0
547,20,9302.1,93934,771,24,1,0.0
548,34,5732.41,91060,730,45,5,0.0
549,41,6238.77,90543,638,24,3,1.0
550,22,8268.58,92468,467,43,5,0.0
551,28,7899.49,90978,417,40,2,0.0
552,18,2080.86,90013,522,22,2,0.0
553,31,2834.72,94580,778,27,4,0.0
554,31,7253.18,94600,755,13,2,1.0
555,25,6145.98,94264,768,23,5,0.0
556,31,2513.17,95543,431,37,3,0.0
557,32,7949.9,93055,486,14,2,1.0
558,27,1696.64,91497,501,8,1,0.0
559,43,7177.62,92252,833,25,5,1.0
560,37,8387.33,95429,303,30,5,1.0
561,41,9009.25,93266,495,41,5,1.0
562,43,8335.31,90088,700,12,5,1.0
563,38,6065.3,91884,357,39,1,1.0
564,30,7530.83,91931,308,31,5,1.0
565,25,1468.96,90582,413,23,1,0.0
566,36,3371.84,93121,329,35,1,0.0
567,36,5451.53,94606,358,38,3,0.0
568,44,7499.43,92878,482,28,5,1.0
569,36,6232.21,90378,618,7,1,1.0
570,32,9990.54,90891,564,14,4,1.0
571,38,6174.38,91568,552,9,3,1.0
572,34,9211.56,91668,478,17,5,1.0
573,31,8620.08,96067,605,3,3,1.0
574,24,9861.65,92700,530,25,3,0.0
575,35,2226.58,94817,334,32,1,0.0
576,28,9383.73,92054,747,21,1,0.0
577,24,12221.21,96070,753,14,3,0.0
578,34,9883.16,90766,460,24,3,1.0
579,22,11213.33,90645,836,14,1,0.0
580,22,1686.75,93386,480,15,3,0.0
581,18,6961.25,95254,306,37,4,0.0
582,24,2531.34,94055,507,44,5,0.0
583,41,5877.41,95116,559,7,1,0.0
584,27,7294.59,93496,331,1,3,0.0
585,35,6492.4,92657,759,33,2,1.0
586,24,8012.35,91154,474,37,2,0.0
587,39,3540.97,90898,307,22,5,0.0
588,40,2001.43,90925,773,10,5,0.0
589,39,6484.88,95852,618,30,3,1.0
590,25,11037.58,90015,724,10,1,0.0
591,25,4201.1,92501,743,1,5,0.0
592,24,5153.11,95404,842,18,5,0.0
593,22,4769.62,92862,325,30,4,0.0
594,37,5262.94,93299,827,45,3,0.0
595,36,3261.8,92437,659,32,5,0.0
596,45,8971.7,90244,539,11,2,1.0
597,26,7016.94,90184,600,4,5,0.0
598,38,7550.71,94142,707,21,5,1.0
599,28,1803.17,95293,414,32,2,0.0
600,40,9351.75,90746,370,22,5,1.0
601,29,7689.54,95835,662,9,1,0.0
602,36,5572.91,94503,482,36,2,0.0
603,27,11599.96,95165,466,27,3,0.0
604,43,5363.33,92897,817,24,3,0.0
605,41,6448.01,91072,444,7,5,1.0
606,23,2822.77,92029,532,25,2,0.0
607,22,10350.65,94258,484,40,5,0.0
608,19,8525.62,92661,524,31,1,0.0
609,34,8490.6,91076,497,9,1,1.0
610,27,5256.33,92539,643,6,2,0.0
611,37,8617.74,93011,452,12,1,1.0
612,21,3646.82,92591,763,28,3,0.0
613,37,2704.75,95860,510,32,1,0.0
614,31,4532.74,92335,438,28,5,0.0
615,33,5435.42,95422,484,20,2,0.0
616,22,9989.2,90453,729,31,5,0.0
617,31,9374.34,95857,365,24,3,1.0
618,39,6168.8,92078,304,37,1,1.0
619,45,5079.63,95078,610,34,5,0.0
620,20,12757.49,90288,343,3,1,0.0
621,22,4957.88,94759,727,43,4,0.0
622,39,4962.73,90481,337,35,1,0.0
623,19,4634.18,92471,453,19,2,0.0
624,33,8931.56,93833,486,34,4,1.0
625,35,2768.39,95838,400,19,3,0.0
626,37,6755.04,94654,345,8,4,1.0
627,21,6090.38,90459,783,15,1,0.0
628,24,5587.42,91307,451,25,2,0.0
629,35,8687.22,90710,518,18,1,1.0
630,29,3858.95,90370,383,18,2,0.0
631,32,5694.48,91045,344,15,4,0.0
632,26,5061.13,93007,670,4,3,0.0
