"id","age","monthly_income","zip","credit_score","years_of_employment","dependents","approved"
258,20,18223.43,92112,474,8,3,0.0
259,32,2686.8,90043,439,37,2,1.0
260,35,11063.01,92330,807,4,2,1.0
261,25,9540.93,93552,562,41,3,0.0
262,32,9507.21,94302,498,18,1,1.0
263,25,7257.25,92427,431,39,5,0.0
264,25,11978.29,90892,432,9,4,0.0
265,33,5486.86,94826,516,21,4,1.0
266,41,8016.54,92802,330,3,3,1.0
267,18,17567.2,93423,406,26,5,1.0
268,24,8637.91,93312,334,10,2,0.0
269,39,13686.96,94653,352,6,1,1.0
270,29,5198.07,93216,834,33,3,0.0
271,24,15451.66,92856,679,45,3,0.0
272,29,5845.07,90090,689,10,4,0.0
273,19,4204.87,93173,546,21,2,0.0
274,38,14396.43,95755,520,2,4,1.0
275,36,7108.01,93626,606,17,1,1.0
276,33,14346.64,94638,651,45,4,1.0
277,29,13877.24,90503,755,3,4,0.0
278,32,8522.73,95280,315,45,2,1.0
279,21,16262.23,91390,617,43,1,0.0
280,21,13156.93,95617,545,42,3,0.0
281,42,17905.8,91438,639,42,1,1.0
282,36,8592.0,95360,840,35,3,1.0
283,21,9675.67,92149,596,21,3,0.0
284,24,6526.81,90869,304,14,4,0.0
285,27,4780.98,90030,632,24,5,0.0
286,31,12887.45,93877,560,7,3,1.0
287,23,11922.31,95344,455,25,4,0.0
288,38,12579.88,95032,666,6,5,1.0
289,34,5813.56,95336,576,42,5,1.0
290,29,6915.75,91812,386,35,2,0.0
291,35,10375.43,94980,840,4,5,1.0
292,31,7907.26,94093,402,10,2,1.0
293,31,11262.22,90063,573,12,4,1.0
294,24,16641.37,95944,825,32,4,0.0
295,42,8706.71,93493,366,30,1,1.0
296,34,5916.54,93363,425,17,5,1.0
297,18,8365.09,93928,379,35,2,1.0
298,44,13000.97,94262,538,13,1,1.0
299,25,6308.72,91091,658,40,4,0.0
300,35,10670.99,91208,404,44,2,1.0
301,32,14023.99,90300,575,29,1,1.0
302,34,11211.81,91414,435,43,3,1.0
303,36,17438.08,94388,806,6,4,1.0
304,21,8841.93,94278,472,35,4,0.0
305,37,16388.76,94859,722,41,5,1.0
306,36,6387.84,95549,385,2,5,1.0
307,22,10199.87,94985,625,36,5,0.0
308,26,7374.89,92203,329,4,4,0.0
309,36,7175.7,92036,362,36,2,1.0
310,38,15102.74,91068,830,37,3,1.0
311,21,8779.4,96071,789,33,5,0.0
312,35,14994.84,93880,679,38,5,1.0
313,29,13709.21,90292,548,25,2,0.0
314,42,11090.11,94009,612,38,3,1.0
315,36,8044.1,92248,730,42,1,1.0
316,28,7331.42,91963,313,10,3,0.0
317,37,9207.62,94733,398,31,3,1.0
318,30,16111.21,94619,508,15,5,1.0
319,32,4079.13,92278,365,9,5,1.0
320,22,7642.45,93518,371,10,1,0.0
321,40,14125.33,95288,720,41,1,1.0
322,38,11080.16,94769,658,19,3,1.0
323,25,8935.32,94637,760,31,4,0.0
324,20,10988.18,92089,467,15,1,0.0
325,28,13973.69,95329,820,7,3,0.0
326,26,16717.67,92513,388,4,3,0.0
327,30,6360.47,92856,494,31,4,1.0
328,25,9672.53,90294,702,8,1,0.0
329,20,11351.78,91207,844,12,5,0.0
330,23,9039.31,95158,555,14,1,0.0
331,36,6817.93,91573,339,25,5,1.0
332,36,12109.82,94404,563,23,5,1.0
333,30,9743.88,91849,390,25,2,1.0
334,33,17988.38,91024,531,6,1,1.0
335,27,10944.73,94441,610,2,4,0.0
336,20,10532.41,90615,380,35,2,0.0
337,18,8375.03,95584,692,14,2,1.0
338,33,3154.56,95625,667,25,5,1.0
339,44,7948.45,90709,818,14,5,1.0
340,19,5068.76,92898,543,14,4,0.0
341,30,12590.33,91917,375,38,4,1.0
342,24,8283.25,96066,570,7,2,0.0
343,21,17878.78,90550,467,40,3,0.0
344,38,8692.5,93688,790,25,1,1.0
345,30,5192.35,91706,648,28,5,1.0
346,30,18725.75,90620,717,30,4,1.0
347,44,12797.46,92924,691,4,2,1.0
348,37,17293.78,95218,738,16,5,1.0
349,29,8174.13,94847,377,28,1,0.0
350,39,4060.54,94262,832,9,3,1.0
351,43,4410.61,93763,792,37,5,1.0
352,37,13123.23,90575,477,32,4,1.0
353,33,3504.63,92733,698,36,3,1.0
354,35,7556.92,91843,602,20,1,1.0
355,39,7103.09,94362,491,33,2,1.0
356,37,13998.48,93626,683,32,1,1.0
357,29,3546.08,90562,623,39,5,0.0
358,36,6613.76,94056,514,30,1,1.0
359,23,6936.15,91786,719,24,3,0.0
360,32,12564.2,93682,522,1,5,1.0
361,41,17068.48,96061,832,3,3,1.0
362,28,10019.07,90533,605,43,4,0.0
363,39,7152.68,95786,317,4,2,1.0
364,40,15386.12,90800,355,28,2,1.0
365,36,14768.18,94385,739,26,3,1.0
366,22,11188.1,92826,768,31,5,0.0
367,38,7639.45,93422,341,11,5,1.0
368,19,6308.78,94623,397,45,1,0.0
369,36,8236.75,95998,568,20,1,1.0
370,26,11496.44,93507,376,6,4,0.0
371,31,12925.44,93976,624,13,1,1.0
372,33,4997.82,95227,698,37,2,1.0
373,24,6645.99,94983,423,27,1,0.0
374,25,10972.35,95908,500,18,5,0.0
375,34,16473.7,92753,651,20,5,1.0
376,19,15629.33,90275,676,22,4,0.0
377,26,17481.3,96160,716,11,2,0.0
378,45,9955.28,90953,555,32,3,1.0
379,25,12636.71,95893,400,39,4,0.0
380,20,10274.88,91294,706,7,5,0.0
381,22,15161.71,95427,564,5,4,0.0
382,30,10088.73,93569,565,10,4,1.0
383,38,9842.29,92739,471,22,2,1.0
384,28,13312.22,90422,391,6,3,0.0
385,22,2566.3,95619,448,30,1,0.0
386,20,7013.97,92967,566,8,3,0.0
387,23,11527.88,94792,825,15,5,0.0
388,42,9604.12,91555,458,20,3,1.0
389,43,12399.07,94142,751,7,4,1.0
390,40,10264.48,94798,480,3,5,1.0
391,26,16601.7,93310,342,4,4,0.0
392,44,11320.76,95355,505,1,1,1.0
393,33,10401.48,90784,442,16,3,1.0
394,32,11074.0,91261,409,38,4,1.0
395,30,7530.51,90502,667,40,1,1.0
396,33,11356.22,93432,542,18,5,1.0
397,34,11653.86,92620,656,2,5,1.0
398,28,8665.68,91710,796,8,3,0.0
399,21,6535.9,95484,312,25,5,0.0
400,37,7298.9,90478,361,23,3,1.0
401,31,7147.93,94107,375,33,1,1.0
402,36,15223.04,94976,789,5,1,1.0
403,27,9441.83,95674,700,24,4,0.0
404,31,9356.27,94268,843,5,1,1.0
405,38,8235.14,93266,643,42,2,1.0
406,42,2962.75,91271,529,20,5,1.0
407,23,10842.53,92439,739,22,2,0.0
408,36,10925.7,93035,752,7,4,1.0
409,38,6686.1,94665,411,31,3,1.0
410,29,6097.16,93040,475,12,5,0.0
411,24,14361.46,95989,490,33,4,0.0
412,36,3316.13,92893,315,32,5,1.0
413,25,8572.61,93485,319,4,1,0.0
414,37,15426.59,95001,835,36,5,1.0
415,42,7185.11,94344,820,17,3,1.0
416,26,14188.11,92597,609,36,3,0.0
417,38,10279.57,92315,498,25,1,1.0
418,28,17916.75,92872,377,14,3,0.0
419,24,6345.07,91894,304,41,4,0.0
420,20,9541.32,93944,341,44,4,0.0
421,40,10697.11,91245,833,11,1,1.0
422,21,9119.49,92137,433,39,1,0.0
423,39,12522.49,91953,565,6,5,1.0
424,41,6253.17,93094,742,23,2,1.0
425,26,8505.83,90294,645,23,2,0.0
426,34,15307.18,93660,615,9,2,1.0
427,31,12549.99,93533,600,32,3,1.0
428,42,8355.86,95855,438,18,1,1.0
429,28,12710.07,91861,491,31,4,0.0
430,40,8781.12,94112,645,17,3,1.0
431,26,5310.46,93352,495,2,2,0.0
432,31,6441.8,91923,501,35,4,1.0
433,32,7455.59,94441,458,20,1,1.0
434,19,15789.36,91641,463,25,2,0.0
435,25,14012.4,93495,409,11,2,0.0
436,28,15816.25,90093,382,19,2,0.0
437,25,7606.65,94886,351,17,1,0.0
438,41,8419.52,91611,430,6,2,1.0
439,23,15652.23,95276,687,9,5,0.0
440,27,6219.29,95024,619,35,4,0.0
441,37,14526.16,93255,388,33,3,1.0
442,18,11657.91,90890,423,11,5,1.0
443,21,10129.49,93927,514,33,5,0.0
444,19,16825.19,91709,735,8,4,0.0
445,31,8658.44,92717,681,13,2,1.0
446,29,10392.61,92536,488,13,3,0.0
447,43,13923.61,95320,637,14,3,1.0
448,23,9995.62,93140,796,43,2,0.0
449,30,6660.17,95330,515,23,4,1.0
450,29,11616.9,94022,658,4,5,0.0
451,41,11660.77,93142,523,35,2,1.0
452,42,10604.92,95928,795,34,1,1.0
453,39,11446.49,94743,378,14,3,1.0
454,32,9238.94,90690,607,4,4,1.0
455,29,11908.9,93938,410,36,4,0.0
456,45,12222.9,90216,614,34,1,1.0
457,22,11053.17,91673,463,31,2,0.0
458,33,1268.81,94283,702,19,2,1.0
459,25,12373.85,90582,811,4,4,0.0
460,22,5940.09,92403,366,6,3,0.0
461,22,12247.44,95276,676,27,4,0.0
462,29,13434.46,91935,433,37,3,0.0
463,29,18160.31,94220,440,37,3,0.0
464,35,11498.39,90740,745,23,4,1.0
465,45,13567.24,94598,314,35,1,1.0
466,41,2731.05,94519,308,1,5,1.0
467,21,12682.69,91046,824,16,5,0.0
468,40,2898.75,92307,754,45,3,1.0
469,25,7821.02,90895,494,45,5,0.0
470,32,11334.97,91088,466,36,5,1.0
471,27,10644.93,91565,500,17,4,0.0
472,30,13880.93,92791,784,10,5,1.0
473,18,1392.37,95743,705,23,5,1.0
474,34,5712.05,95106,714,11,1,1.0
475,27,18471.29,92342,847,19,1,0.0
476,27,18587.17,93857,583,21,3,0.0
477,25,10216.86,96060,771,34,5,0.0
478,37,8877.82,91840,481,5,1,1.0
479,35,10871.68,95710,314,11,3,1.0
480,21,11875.84,91699,333,33,3,0.0
481,18,15481.56,95416,649,1,1,1.0
482,21,7491.07,94549,638,3,3,0.0
483,38,7619.01,90468,556,17,3,1.0
484,40,8425.0,93095,668,43,2,1.0
485,36,3884.34,95831,452,22,3,1.0
486,30,4160.1,91637,767,11,3,1.0
487,26,11555.35,94826,749,6,1,0.0
488,28,4492.68,93801,500,7,2,0.0
489,37,13774.89,90873,491,15,4,1.0
490,30,10155.09,92951,750,42,3,1.0
491,36,18525.12,94645,310,38,4,1.0
492,35,16162.36,92485,486,8,5,1.0
493,34,8152.95,94806,564,38,2,1.0
494,21,7614.84,93032,806,25,2,0.0
495,45,9603.98,96020,376,37,1,1.0
496,32,14592.29,93108,620,22,3,1.0
497,37,9289.67,93786,812,22,1,1.0
498,27,14723.9,94576,619,9,2,0.0
499,36,16838.12,94390,526,21,5,1.0
500,23,10814.0,94956,484,41,3,0.0
501,42,17338.99,94648,660,43,2,1.0
502,37,13422.45,91445,702,26,2,1.0
503,29,8841.17,93968,597,8,1,0.0
504,37,13225.64,91020,563,3,2,1.0
505,35,11652.81,90190,742,13,1,1.0
506,19,9131.78,90427,626,25,4,0.0
507,33,12666.59,93735,847,30,4,1.0
508,39,9892.15,92148,726,23,5,1.0
509,38,7102.59,90745,802,37,5,1.0
510,42,6262.14,95000,660,7,3,1.0
511,44,12652.52,94731,640,6,2,1.0
512,24,16468.44,91153,753,36,4,0.0
513,37,5250.39,92136,687,10,2,1.0
514,41,8266.98,91592,585,36,1,1.0
515,28,7546.67,90189,352,22,1,0.0
516,39,5267.9,90119,828,43,2,1.0
517,23,6418.16,90548,798,22,2,0.0
518,33,6267.92,90803,418,22,4,1.0
519,19,5662.04,94269,637,11,2,0.0
520,40,1248.29,92596,602,5,3,1.0
521,37,10759.08,96125,672,7,4,1.0
522,39,12170.86,94692,618,21,2,1.0
523,34,5210.26,94653,671,16,1,1.0
524,32,1541.77,91282,728,12,3,1.0
525,38,11756.06,94661,741,36,2,1.0
526,27,13535.58,92339,497,23,5,0.0
527,37,7729.82,94491,499,18,5,1.0
528,35,16875.45,94845,384,20,3,1.0
529,31,11332.3,95705,373,38,3,1.0
530,33,9353.32,95970,414,23,3,1.0
531,28,12886.49,90752,396,22,2,0.0
532,30,13084.26,92788,388,20,4,1.0
533,30,16718.29,93440,485,14,3,1.0
534,32,9698.83,92179,433,15,2,1.0
535,27,14645.12,92781,536,19,4,0.0
536,33,10585.21,90073,432,26,1,1.0
537,27,16471.45,91196,388,20,2,0.0
538,23,11153.91,94739,506,40,5,0.0
539,24,9110.59,92529,795,22,3,0.0
540,24,16320.54,95203,429,36,5,0.0
541,18,8092.48,90952,691,33,1,1.0
542,27,8708.53,93513,450,27,1,0.0
543,34,10627.65,95089,323,18,1,1.0
544,26,8241.61,90617,345,31,4,0.0
545,22,13043.12,90771,317,14,2,0.0
546,32,7240.8,94268,524,40,4,1.0
547,42,10649.21,94494,374,15,4,1.0
548,25,11061.5,94665,559,16,1,0.0
549,28,10595.58,94181,679,24,3,0.0
550,39,9911.34,93157,649,13,5,1.0
551,43,10280.04,92246,555,32,2,1.0
552,18,15297.74,94846,663,39,2,1.0
553,19,11879.35,90302,641,22,3,0.0
554,33,9620.23,94434,623,4,5,1.0
555,34,6842.77,90441,834,16,1,1.0
556,18,8956.89,91197,459,35,4,1.0
557,26,5135.94,92220,612,34,3,0.0
558,28,7723.78,91130,341,24,2,0.0
559,33,17238.46,90732,489,22,5,1.0
560,29,4485.11,92296,360,18,5,0.0
561,43,6528.82,92316,463,23,4,1.0
562,31,11660.56,94074,830,14,4,1.0
563,36,11257.18,90101,396,35,4,1.0
564,44,10474.46,91928,300,20,4,1.0
565,37,9144.2,92133,409,36,4,1.0
566,37,5560.76,91611,640,40,4,1.0
567,36,16207.28,91853,551,9,2,1.0
568,34,11686.45,95431,522,26,2,1.0
569,41,8394.45,93408,541,9,2,1.0
570,23,10067.63,94332,607,17,5,0.0
571,31,3706.93,93860,587,9,5,1.0
572,25,11528.99,95939,615,33,4,0.0
573,40,14359.44,93584,518,33,4,1.0
574,18,8816.66,91161,619,37,4,1.0
575,27,5983.0,90909,828,36,3,0.0
576,22,9915.22,95276,367,9,1,0.0
577,31,9071.99,92068,783,15,2,1.0
578,28,6452.79,93149,314,42,4,0.0
579,30,10458.23,91253,840,41,5,1.0
580,33,10679.6,92939,761,22,2,1.0
581,21,10141.9,93232,584,13,3,0.0
582,34,12623.68,95031,767,4,3,1.0
583,23,4043.11,94063,688,28,1,0.0
584,42,14112.8,92512,395,15,2,1.0
585,28,11207.61,92404,352,8,1,0.0
586,36,15782.36,92225,449,38,2,1.0
587,32,14640.26,90096,614,29,2,1.0
588,40,1173.53,91172,698,43,2,1.0
589,33,18556.59,90450,825,18,4,1.0
590,34,11273.98,96081,850,27,3,1.0
591,38,9761.49,90109,392,41,2,1.0
592,42,6377.46,91110,789,27,2,1.0
593,30,8338.0,91380,360,32,1,1.0
594,24,10640.04,96075,599,38,4,0.0
595,33,11432.72,92156,698,34,3,1.0
596,32,18008.39,95175,363,32,3,1.0
597,35,3519.42,94348,309,10,2,1.0
598,29,13043.27,95136,552,29,5,0.0
599,27,18698.72,95623,493,16,1,0.0
600,24,12626.35,95355,365,35,4,0.0
601,20,14967.82,92224,331,7,1,0.0
602,24,13128.52,92654,471,32,5,0.0
603,34,11920.64,95839,365,17,1,1.0
604,32,1937.92,93485,499,36,4,1.0
605,24,9196.43,95560,666,23,3,0.0
606,22,9235.62,95984,543,16,2,0.0
607,27,12280.19,93200,588,26,3,0.0
608,30,12420.21,93324,677,34,3,1.0
609,35,14698.62,93638,552,5,2,1.0
610,36,13377.21,93560,803,36,4,1.0
611,18,14975.35,93708,791,27,5,1.0
612,39,8974.39,90721,561,6,2,1.0
613,27,6826.76,93509,471,40,4,0.0
614,24,4545.07,91648,818,16,4,0.0
615,24,11993.55,91993,758,4,3,0.0
616,19,16442.82,90172,506,25,2,0.0
617,34,10854.41,95129,653,17,3,1.0
618,32,12640.07,92801,762,22,5,1.0
619,45,10639.2,94552,679,9,5,1.0
620,23,11213.74,92512,349,45,5,0.0
621,26,17952.09,91340,517,10,5,0.0
622,41,9498.22,90601,318,7,3,1.0
623,35,8848.56,92013,302,17,3,1.0
624,31,11457.89,93591,833,34,4,1.0
625,31,10619.33,90850,609,38,4,1.0
626,37,7453.87,93124,535,17,1,1.0
627,29,12785.13,93387,521,21,4,0.0
628,30,12159.62,92798,685,33,3,1.0
629,42,14308.23,92276,580,34,4,1.0
630,31,9389.43,95653,339,18,2,1.0
631,39,8345.69,94469,511,15,5,1.0
632,19,11455.88,95863,590,7,1,0.0
